id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,instrumentalness,vocal_presence,complexity
25,Blank Space,Taylor Swift,pop,moody,0.76,96,0.58,0.76,0.08,90,2010s,0.00,0.98,0.48
26,Nights Like This,St. Lundi,indie pop,moody,0.42,84,0.36,0.52,0.62,60,2010s,0.06,0.86,0.42
27,Laung Da Lashkara,Mahalakshmi Iyer,bollywood,happy,0.78,132,0.82,0.76,0.28,68,2000s,0.04,0.92,0.50
28,Dildaara,Vishal-Shekhar,bollywood,romantic,0.62,102,0.66,0.62,0.44,70,2010s,0.03,0.92,0.48
29,Radha,Pritam,bollywood,happy,0.80,128,0.84,0.80,0.18,76,2010s,0.02,0.94,0.50
30,Thangamey,Anirudh Ravichander,kollywood,romantic,0.56,92,0.64,0.60,0.42,74,2010s,0.04,0.90,0.45
31,Aye Sinamika,A.R. Rahman,kollywood,happy,0.72,118,0.76,0.72,0.28,72,2020s,0.05,0.90,0.52
32,Firefly,When Chai Met Toast,indie pop,happy,0.64,104,0.74,0.66,0.52,68,2010s,0.04,0.90,0.42
33,The Fate of Ophelia,Taylor Swift,pop,melancholy,0.34,76,0.28,0.40,0.78,80,2020s,0.02,0.94,0.45
34,Run Down The City,Shashwat Sachdev,bollywood,happy,0.76,122,0.78,0.74,0.22,66,2020s,0.04,0.90,0.52
35,Shararat,Shashwat Sachdev,bollywood,happy,0.80,130,0.82,0.78,0.16,64,2020s,0.03,0.92,0.50
36,Ramba Ho,Shashwat Sachdev,bollywood,happy,0.82,134,0.80,0.80,0.12,64,2020s,0.04,0.90,0.52
37,Dhurandhar,Shashwat Sachdev,hip-hop,intense,0.88,140,0.68,0.84,0.06,68,2020s,0.05,0.92,0.62
38,Ez-Ez,Shashwat Sachdev,hip-hop,confident,0.86,136,0.72,0.86,0.05,70,2020s,0.04,0.93,0.60
39,Lutt Le Gaya,Shashwat Sachdev,bollywood,moody,0.74,118,0.52,0.76,0.14,62,2020s,0.05,0.90,0.55
40,FA9LA,Flipperachi,hip-hop,confident,0.84,132,0.68,0.82,0.06,58,2020s,0.06,0.90,0.58
41,Houdini,Dua Lipa,pop,confident,0.82,126,0.74,0.82,0.04,88,2020s,0.01,0.97,0.50
42,Levitating,Dua Lipa,pop,happy,0.84,103,0.86,0.84,0.02,92,2020s,0.00,0.98,0.48
43,Ordinary,Alex Warren,pop,melancholy,0.44,84,0.38,0.50,0.58,74,2020s,0.02,0.94,0.40
44,Challa,Shashwat Sachdev,bollywood,motivated,0.72,116,0.66,0.68,0.28,64,2020s,0.04,0.90,0.50
45,Duniyaa,Akhil,bollywood,romantic,0.52,90,0.62,0.58,0.52,80,2010s,0.03,0.92,0.42
46,Hunter Vantaar,Anirudh Ravichander,kollywood,intense,0.90,148,0.72,0.82,0.08,74,2020s,0.05,0.92,0.60
